iso_code,continent,location,date,total_cases,total_deaths,total_tests,tests_per_case,total_vaccinations,people_fully_vaccinated,total_vaccinations_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,total_deaths_per_100k
AFG,Asia,Afghanistan,2021-02-01,55059,2404,NA,NA,NA,NA,NA,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,NA,NA,37.746,0.5,64.83,0.498,6.1754493981646945
ALB,Europe,Albania,2021-02-01,78992,1393,346069,4,NA,NA,NA,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,7.1,51.2,NA,2.89,78.57,0.785,48.40503162137745
DZA,Africa,Algeria,2021-02-01,107578,2894,NA,NA,NA,NA,NA,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,0.7,30.4,83.741,1.9,76.88,0.754,6.599614973810315
AND,Europe,Andorra,2021-02-01,9972,101,144933,11.3,1036,NA,1.34,77265,163.755,NA,NA,NA,NA,NA,109.135,29,37.8,NA,NA,83.73,0.858,130.71895424836603
AGO,Africa,Angola,2021-02-01,19829,466,NA,NA,NA,NA,NA,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,NA,NA,26.664,NA,61.15,0.581,1.417867097049169
ATG,North America,Antigua and Barbuda,2021-02-01,234,7,NA,NA,NA,NA,NA,97928,231.845,32.1,6.933,4.631,21490.943,NA,191.511,NA,NA,NA,3.8,77.02,0.78,7.148108814639326
ARG,South America,Argentina,2021-02-01,1933853,48249,NA,NA,375851,NA,0.83,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,16.2,27.7,NA,5,76.67,0.825,106.75554930718417
ARM,Asia,Armenia,2021-02-01,167088,3084,NA,NA,NA,NA,NA,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,1.5,52.1,94.043,4.2,75.09,0.755,104.07547969549486
AUS,Oceania,Australia,2021-02-01,28823,909,12982095,5493.4,NA,NA,NA,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,13,16.5,NA,3.84,83.44,0.939,3.564722517724691
AUT,Europe,Austria,2021-02-01,415522,7778,9481832,NA,202345,NA,2.25,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,28.4,30.9,NA,7.37,81.54,0.908,86.36081009060224
AZE,Asia,Azerbaijan,2021-02-01,230296,3136,NA,NA,NA,NA,NA,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,0.3,42.5,83.241,4.7,73,0.757,30.929538152758976
BHS,North America,Bahamas,2021-02-01,8174,176,NA,NA,NA,NA,NA,393248,39.497,34.3,8.996,5.2,27717.847,NA,235.954,3.1,20.4,NA,2.9,73.92,0.807,44.75547237366751
BHR,Asia,Bahrain,2021-02-01,103582,376,2713722,25.7,172912,NA,10.16,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,5.8,37.6,NA,2,77.29,0.846,22.097070786438273
BGD,Asia,Bangladesh,2021-02-01,535582,8137,3661537,29.5,NA,NA,NA,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,1,44.7,34.808,0.8,72.59,0.608,4.940816373087025
BRB,North America,Barbados,2021-02-01,1558,14,NA,NA,NA,NA,NA,287371,664.463,39.8,14.952,9.473,16978.068,NA,170.05,1.9,14.5,88.469,5.8,79.19,0.8,4.8717511509512095
BLR,Europe,Belarus,2021-02-01,249295,1728,4472745,9.1,NA,NA,NA,9449321,46.858,40.3,14.799,9.788,17167.967,NA,443.129,10.5,46.1,NA,11,74.79,0.808,18.287028242558378
BEL,Europe,Belgium,2021-02-01,711417,21124,8322021,18.2,321779,NA,2.78,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,25.1,31.4,NA,5.64,81.63,0.916,182.2666083155818
BLZ,North America,Belize,2021-02-01,11945,302,NA,NA,NA,NA,NA,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,NA,NA,90.083,1.3,74.62,0.708,75.951722871779907
BEN,Africa,Benin,2021-02-01,3893,52,NA,NA,NA,NA,NA,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.6,12.3,11.035,0.5,61.77,0.515,0.42892972629829196
